

0.000000000  Node Startup
0.000000000 INFO [/tmp/binarydeb/ros-kinetic-roscpp-1.12.13/src/libros/service.cpp:80(service::exists) [topics: /rosout] waitForService: Service [/gazebo/set_physics_properties] has not been advertised, waiting...
591.347000000 INFO [/tmp/binarydeb/ros-kinetic-roscpp-1.12.13/src/libros/service.cpp:122(service::waitForService) [topics: /rosout, /clock, /gazebo/link_states, /gazebo/model_states] waitForService: Service [/gazebo/set_physics_properties] is now available.
591.431000000 INFO [/tmp/binarydeb/ros-kinetic-gazebo-ros-2.5.14/src/gazebo_ros_api_plugin.cpp:2083(GazeboRosApiPlugin::physicsReconfigureThread) [topics: /rosout, /clock, /gazebo/link_states, /gazebo/model_states, /gazebo/parameter_descriptions, /gazebo/parameter_updates] Physics dynamic reconfigure ready.
592.093000000 INFO [/tmp/binarydeb/ros-kinetic-gazebo-plugins-2.5.14/include/gazebo_plugins/gazebo_ros_utils.h:95(__cxx11::string gazebo::GetRobotNamespace) [topics: /rosout, /clock, /gazebo/link_states, /gazebo/model_states, /gazebo/parameter_descriptions, /gazebo/parameter_updates] Laser Plugin: Using the 'robotNamespace' param: '/'
592.093000000 INFO [/tmp/binarydeb/ros-kinetic-gazebo-plugins-2.5.14/src/gazebo_ros_laser.cpp:111(GazeboRosLaser::Load) [topics: /rosout, /clock, /gazebo/link_states, /gazebo/model_states, /gazebo/parameter_descriptions, /gazebo/parameter_updates] Starting Laser Plugin (ns = /)
930.541000000 INFO [reading_laser.py:15(clbk_laser) [topics: /clock, /m2wr/laser/scan, /rosout] [9.162786483764648, 9.707758903503418, 9.266077995300293, 9.979114532470703, 8.96680736541748]
930.585000000 INFO [reading_laser.py:15(clbk_laser) [topics: /clock, /m2wr/laser/scan, /rosout] [9.180621147155762, 9.712197303771973, 9.266568183898926, 9.972855567932129, 8.965997695922852]
930.637000000 INFO [reading_laser.py:15(clbk_laser) [topics: /clock, /m2wr/laser/scan, /rosout] [9.166424751281738, 9.721040725708008, 9.24881649017334, 9.977126121520996, 8.970208168029785]
930.688000000 INFO [reading_laser.py:15(clbk_laser) [topics: /clock, /m2wr/laser/scan, /rosout] [9.170463562011719, 9.699626922607422, 9.257562637329102, 9.981731414794922, 8.96636962890625]
930.738000000 INFO [reading_laser.py:15(clbk_laser) [topics: /clock, /m2wr/laser/scan, /rosout] [9.16746997833252, 9.714295387268066, 9.266911506652832, 9.98780345916748, 8.959395408630371]
930.787000000 INFO [reading_laser.py:15(clbk_laser) [topics: /clock, /m2wr/laser/scan, /rosout] [9.175599098205566, 9.695618629455566, 9.26363754272461, 9.98509693145752, 8.97313117980957]
930.836000000 INFO [reading_laser.py:15(clbk_laser) [topics: /clock, /m2wr/laser/scan, /rosout] [9.173352241516113, 9.701827049255371, 9.26368522644043, 9.99952507019043, 8.971325874328613]
930.888000000 INFO [reading_laser.py:15(clbk_laser) [topics: /clock, /m2wr/laser/scan, /rosout] [9.171268463134766, 9.714679718017578, 9.261152267456055, 9.983282089233398, 8.971748352050781]
930.937000000 INFO [reading_laser.py:15(clbk_laser) [topics: /clock, /m2wr/laser/scan, /rosout] [9.167465209960938, 9.723136901855469, 9.261981010437012, 9.995859146118164, 8.958489418029785]
930.981000000 INFO [reading_laser.py:15(clbk_laser) [topics: /clock, /m2wr/laser/scan, /rosout] [9.174975395202637, 9.707853317260742, 9.270517349243164, 9.989012718200684, 8.978461265563965]
931.037000000 INFO [reading_laser.py:15(clbk_laser) [topics: /clock, /m2wr/laser/scan, /rosout] [9.170860290527344, 9.70660400390625, 9.272420883178711, 9.994136810302734, 8.974227905273438]
931.087000000 INFO [reading_laser.py:15(clbk_laser) [topics: /clock, /m2wr/laser/scan, /rosout] [9.16624641418457, 9.720051765441895, 9.260165214538574, 9.98827075958252, 8.968003273010254]
931.137000000 INFO [reading_laser.py:15(clbk_laser) [topics: /clock, /m2wr/laser/scan, /rosout] [9.150050163269043, 9.71085262298584, 9.270864486694336, 9.992684364318848, 8.969738960266113]
931.187000000 INFO [reading_laser.py:15(clbk_laser) [topics: /clock, /m2wr/laser/scan, /rosout] [9.18329906463623, 9.728289604187012, 9.270041465759277, 9.975435256958008, 8.973723411560059]
931.238000000 INFO [reading_laser.py:15(clbk_laser) [topics: /clock, /m2wr/laser/scan, /rosout] [9.169257164001465, 9.714953422546387, 9.268756866455078, 9.975041389465332, 8.958577156066895]
931.288000000 INFO [reading_laser.py:15(clbk_laser) [topics: /clock, /m2wr/laser/scan, /rosout] [9.173003196716309, 9.716832160949707, 9.25351333618164, 9.974554061889648, 8.965256690979004]
931.338000000 INFO [reading_laser.py:15(clbk_laser) [topics: /clock, /m2wr/laser/scan, /rosout] [9.166121482849121, 9.725103378295898, 9.267953872680664, 9.977840423583984, 8.973556518554688]
931.387000000 INFO [reading_laser.py:15(clbk_laser) [topics: /clock, /m2wr/laser/scan, /rosout] [9.178168296813965, 9.711316108703613, 9.264175415039062, 9.987178802490234, 8.970819473266602]
931.438000000 INFO [reading_laser.py:15(clbk_laser) [topics: /clock, /m2wr/laser/scan, /rosout] [9.17075252532959, 9.722489356994629, 9.264470100402832, 9.973397254943848, 8.969771385192871]
931.487000000 INFO [reading_laser.py:15(clbk_laser) [topics: /clock, /m2wr/laser/scan, /rosout] [9.180598258972168, 9.730737686157227, 9.262138366699219, 9.982307434082031, 8.950002670288086]
931.537000000 INFO [reading_laser.py:15(clbk_laser) [topics: /clock, /m2wr/laser/scan, /rosout] [9.169320106506348, 9.704992294311523, 9.267513275146484, 10.0, 8.965618133544922]
931.587000000 INFO [reading_laser.py:15(clbk_laser) [topics: /clock, /m2wr/laser/scan, /rosout] [9.173542022705078, 9.723554611206055, 9.272028923034668, 9.983650207519531, 8.958978652954102]
931.637000000 INFO [reading_laser.py:15(clbk_laser) [topics: /clock, /m2wr/laser/scan, /rosout] [9.18305492401123, 9.712309837341309, 9.266481399536133, 10.0, 8.962210655212402]
931.687000000 INFO [reading_laser.py:15(clbk_laser) [topics: /clock, /m2wr/laser/scan, /rosout] [9.173880577087402, 9.71945858001709, 9.267549514770508, 9.971001625061035, 8.968453407287598]
931.736000000 INFO [reading_laser.py:15(clbk_laser) [topics: /clock, /m2wr/laser/scan, /rosout] [9.170454025268555, 9.719437599182129, 9.264044761657715, 9.983097076416016, 8.976980209350586]
931.787000000 INFO [reading_laser.py:15(clbk_laser) [topics: /clock, /m2wr/laser/scan, /rosout] [9.166658401489258, 9.708902359008789, 9.269238471984863, 9.990936279296875, 8.972339630126953]
931.838000000 INFO [reading_laser.py:15(clbk_laser) [topics: /clock, /m2wr/laser/scan, /rosout] [9.162903785705566, 9.721634864807129, 9.270821571350098, 9.989067077636719, 8.977285385131836]
931.888000000 INFO [reading_laser.py:15(clbk_laser) [topics: /clock, /m2wr/laser/scan, /rosout] [9.168253898620605, 9.696571350097656, 9.266703605651855, 9.999167442321777, 8.960082054138184]
931.937000000 INFO [reading_laser.py:15(clbk_laser) [topics: /clock, /m2wr/laser/scan, /rosout] [9.176369667053223, 9.731440544128418, 9.265244483947754, 9.983006477355957, 8.97744369506836]
931.987000000 INFO [reading_laser.py:15(clbk_laser) [topics: /clock, /m2wr/laser/scan, /rosout] [9.16305160522461, 9.713249206542969, 9.265283584594727, 9.978485107421875, 8.973350524902344]
932.038000000 INFO [reading_laser.py:15(clbk_laser) [topics: /clock, /m2wr/laser/scan, /rosout] [9.180015563964844, 9.709823608398438, 9.263311386108398, 9.979816436767578, 8.957465171813965]
932.088000000 INFO [reading_laser.py:15(clbk_laser) [topics: /clock, /m2wr/laser/scan, /rosout] [9.171141624450684, 9.691991806030273, 9.262338638305664, 9.972699165344238, 8.961501121520996]
932.137000000 INFO [reading_laser.py:15(clbk_laser) [topics: /clock, /m2wr/laser/scan, /rosout] [9.169774055480957, 9.718137741088867, 9.262825965881348, 9.984101295471191, 8.959470748901367]
932.185000000 INFO [reading_laser.py:15(clbk_laser) [topics: /clock, /m2wr/laser/scan, /rosout] [9.172518730163574, 9.712913513183594, 9.273399353027344, 9.998861312866211, 8.971539497375488]
932.238000000 INFO [reading_laser.py:15(clbk_laser) [topics: /clock, /m2wr/laser/scan, /rosout] [9.182453155517578, 9.71455192565918, 9.26095199584961, 9.97679615020752, 8.957169532775879]
932.287000000 INFO [reading_laser.py:15(clbk_laser) [topics: /clock, /m2wr/laser/scan, /rosout] [9.161554336547852, 9.723209381103516, 9.269294738769531, 9.970565795898438, 8.976207733154297]
932.336000000 INFO [reading_laser.py:15(clbk_laser) [topics: /clock, /m2wr/laser/scan, /rosout] [9.164326667785645, 9.715436935424805, 9.26665210723877, 9.990764617919922, 8.96783447265625]
932.388000000 INFO [reading_laser.py:15(clbk_laser) [topics: /clock, /m2wr/laser/scan, /rosout] [9.178970336914062, 9.720069885253906, 9.268672943115234, 9.983290672302246, 8.970521926879883]
932.438000000 INFO [reading_laser.py:15(clbk_laser) [topics: /clock, /m2wr/laser/scan, /rosout] [9.180620193481445, 9.715696334838867, 9.266507148742676, 9.998281478881836, 8.974597930908203]
932.487000000 INFO [reading_laser.py:15(clbk_laser) [topics: /clock, /m2wr/laser/scan, /rosout] [9.169380187988281, 9.735823631286621, 9.270827293395996, 9.991900444030762, 8.9629545211792]
932.537000000 INFO [reading_laser.py:15(clbk_laser) [topics: /clock, /m2wr/laser/scan, /rosout] [9.173998832702637, 9.724719047546387, 9.272706985473633, 9.987433433532715, 8.972296714782715]
932.587000000 INFO [reading_laser.py:15(clbk_laser) [topics: /clock, /m2wr/laser/scan, /rosout] [9.168898582458496, 9.719297409057617, 9.260995864868164, 9.99281120300293, 8.971673011779785]
932.638000000 INFO [reading_laser.py:15(clbk_laser) [topics: /clock, /m2wr/laser/scan, /rosout] [9.173347473144531, 9.73422622680664, 9.262185096740723, 9.999070167541504, 8.964071273803711]
932.688000000 INFO [reading_laser.py:15(clbk_laser) [topics: /clock, /m2wr/laser/scan, /rosout] [9.154030799865723, 9.704673767089844, 9.266946792602539, 9.979999542236328, 8.97244644165039]
932.738000000 INFO [reading_laser.py:15(clbk_laser) [topics: /clock, /m2wr/laser/scan, /rosout] [9.16938304901123, 9.705262184143066, 9.262682914733887, 9.980770111083984, 8.96704387664795]
932.787000000 INFO [reading_laser.py:15(clbk_laser) [topics: /clock, /m2wr/laser/scan, /rosout] [9.166874885559082, 9.721080780029297, 9.261921882629395, 9.992162704467773, 8.956298828125]
932.837000000 INFO [reading_laser.py:15(clbk_laser) [topics: /clock, /m2wr/laser/scan, /rosout] [9.179218292236328, 9.719215393066406, 9.2708740234375, 9.976231575012207, 8.95887565612793]
932.888000000 INFO [reading_laser.py:15(clbk_laser) [topics: /clock, /m2wr/laser/scan, /rosout] [9.158119201660156, 9.730964660644531, 9.271583557128906, 9.995122909545898, 8.9677734375]
932.937000000 INFO [reading_laser.py:15(clbk_laser) [topics: /clock, /m2wr/laser/scan, /rosout] [9.179943084716797, 9.711472511291504, 9.259038925170898, 9.995797157287598, 8.973252296447754]
932.988000000 INFO [reading_laser.py:15(clbk_laser) [topics: /clock, /m2wr/laser/scan, /rosout] [9.162982940673828, 9.727694511413574, 9.26031494140625, 9.98812484741211, 8.951475143432617]
933.039000000 INFO [reading_laser.py:15(clbk_laser) [topics: /clock, /m2wr/laser/scan, /rosout] [9.162861824035645, 9.718396186828613, 9.265545845031738, 9.9674711227417, 8.96739673614502]
933.085000000 INFO [reading_laser.py:15(clbk_laser) [topics: /clock, /m2wr/laser/scan, /rosout] [9.170876502990723, 9.723176002502441, 9.26572322845459, 9.994309425354004, 8.974784851074219]
933.135000000 INFO [reading_laser.py:15(clbk_laser) [topics: /clock, /m2wr/laser/scan, /rosout] [9.171121597290039, 9.722332954406738, 9.257670402526855, 9.994093894958496, 8.968886375427246]
933.187000000 INFO [reading_laser.py:15(clbk_laser) [topics: /clock, /m2wr/laser/scan, /rosout] [9.159326553344727, 9.728419303894043, 9.264403343200684, 9.983522415161133, 8.960094451904297]
933.233000000 INFO [reading_laser.py:15(clbk_laser) [topics: /clock, /m2wr/laser/scan, /rosout] [9.165470123291016, 9.709853172302246, 9.269707679748535, 9.998597145080566, 8.97107982635498]
933.298000000 INFO [reading_laser.py:15(clbk_laser) [topics: /clock, /m2wr/laser/scan, /rosout] [9.17251968383789, 9.707667350769043, 9.26487922668457, 9.97679615020752, 8.971441268920898]
933.338000000 INFO [reading_laser.py:15(clbk_laser) [topics: /clock, /m2wr/laser/scan, /rosout] [9.179962158203125, 9.717103004455566, 9.2633638381958, 10.0, 8.971407890319824]
933.391000000 INFO [reading_laser.py:15(clbk_laser) [topics: /clock, /m2wr/laser/scan, /rosout] [9.181183815002441, 9.7025146484375, 9.262133598327637, 9.983081817626953, 8.972686767578125]
933.441000000 INFO [reading_laser.py:15(clbk_laser) [topics: /clock, /m2wr/laser/scan, /rosout] [9.180564880371094, 9.723376274108887, 9.264781951904297, 9.973543167114258, 8.961100578308105]
933.487000000 INFO [reading_laser.py:15(clbk_laser) [topics: /clock, /m2wr/laser/scan, /rosout] [9.16995620727539, 9.717166900634766, 9.271312713623047, 9.988578796386719, 8.965510368347168]
933.538000000 INFO [reading_laser.py:15(clbk_laser) [topics: /clock, /m2wr/laser/scan, /rosout] [9.17324161529541, 9.721419334411621, 9.266560554504395, 9.983553886413574, 8.976129531860352]
933.587000000 INFO [reading_laser.py:15(clbk_laser) [topics: /clock, /m2wr/laser/scan, /rosout] [9.173697471618652, 9.709646224975586, 9.271611213684082, 9.986185073852539, 8.973353385925293]
933.637000000 INFO [reading_laser.py:15(clbk_laser) [topics: /clock, /m2wr/laser/scan, /rosout] [9.174738883972168, 9.715846061706543, 9.266207695007324, 9.980277061462402, 8.957551002502441]
933.688000000 INFO [reading_laser.py:15(clbk_laser) [topics: /clock, /m2wr/laser/scan, /rosout] [9.16932487487793, 9.712234497070312, 9.256961822509766, 9.982158660888672, 8.973597526550293]
933.738000000 INFO [reading_laser.py:15(clbk_laser) [topics: /clock, /m2wr/laser/scan, /rosout] [9.177821159362793, 9.70414924621582, 9.263518333435059, 9.981488227844238, 8.957198143005371]
933.791000000 INFO [reading_laser.py:15(clbk_laser) [topics: /clock, /m2wr/laser/scan, /rosout] [9.167276382446289, 9.728655815124512, 9.272025108337402, 10.0, 8.964254379272461]
933.838000000 INFO [reading_laser.py:15(clbk_laser) [topics: /clock, /m2wr/laser/scan, /rosout] [9.173381805419922, 9.720969200134277, 9.271318435668945, 9.993924140930176, 8.961913108825684]
933.888000000 INFO [reading_laser.py:15(clbk_laser) [topics: /clock, /m2wr/laser/scan, /rosout] [9.158096313476562, 9.723074913024902, 9.273273468017578, 9.970377922058105, 8.970215797424316]
933.938000000 INFO [reading_laser.py:15(clbk_laser) [topics: /clock, /m2wr/laser/scan, /rosout] [9.158994674682617, 9.725947380065918, 9.267189979553223, 10.0, 8.95340633392334]
933.992000000 INFO [reading_laser.py:15(clbk_laser) [topics: /clock, /m2wr/laser/scan, /rosout] [9.174341201782227, 9.704718589782715, 9.276762008666992, 9.992374420166016, 8.974525451660156]
934.037000000 INFO [reading_laser.py:15(clbk_laser) [topics: /clock, /m2wr/laser/scan, /rosout] [9.173768043518066, 9.709312438964844, 9.27521800994873, 9.992189407348633, 8.976936340332031]
934.098000000 INFO [reading_laser.py:15(clbk_laser) [topics: /clock, /m2wr/laser/scan, /rosout] [9.167067527770996, 9.717630386352539, 9.270074844360352, 9.992901802062988, 8.967196464538574]
934.150000000 INFO [reading_laser.py:15(clbk_laser) [topics: /clock, /m2wr/laser/scan, /rosout] [9.173961639404297, 9.723966598510742, 9.262805938720703, 9.98085880279541, 8.964608192443848]
934.193000000 INFO [reading_laser.py:15(clbk_laser) [topics: /clock, /m2wr/laser/scan, /rosout] [9.166829109191895, 9.729948997497559, 9.277206420898438, 9.990548133850098, 8.970505714416504]
934.238000000 INFO [reading_laser.py:15(clbk_laser) [topics: /clock, /m2wr/laser/scan, /rosout] [9.166877746582031, 9.709686279296875, 9.269269943237305, 9.978803634643555, 8.953339576721191]
934.287000000 INFO [reading_laser.py:15(clbk_laser) [topics: /clock, /m2wr/laser/scan, /rosout] [9.172370910644531, 9.724724769592285, 9.267449378967285, 9.975359916687012, 8.974458694458008]
934.338000000 INFO [reading_laser.py:15(clbk_laser) [topics: /clock, /m2wr/laser/scan, /rosout] [9.183536529541016, 9.714871406555176, 9.264272689819336, 9.98008918762207, 8.949492454528809]
934.384000000 INFO [reading_laser.py:15(clbk_laser) [topics: /clock, /m2wr/laser/scan, /rosout] [9.175238609313965, 9.720044136047363, 9.271516799926758, 9.998519897460938, 8.968411445617676]
934.438000000 INFO [reading_laser.py:15(clbk_laser) [topics: /clock, /m2wr/laser/scan, /rosout] [9.176031112670898, 9.718304634094238, 9.263750076293945, 9.998836517333984, 8.95799732208252]
934.487000000 INFO [reading_laser.py:15(clbk_laser) [topics: /clock, /m2wr/laser/scan, /rosout] [9.173320770263672, 9.723577499389648, 9.264713287353516, 9.977635383605957, 8.964137077331543]
934.539000000 INFO [reading_laser.py:15(clbk_laser) [topics: /clock, /m2wr/laser/scan, /rosout] [9.175861358642578, 9.711060523986816, 9.265247344970703, 9.977734565734863, 8.975172996520996]
934.587000000 INFO [reading_laser.py:15(clbk_laser) [topics: /clock, /m2wr/laser/scan, /rosout] [9.170101165771484, 9.726958274841309, 9.268416404724121, 9.994041442871094, 8.969830513000488]
934.634000000 INFO [reading_laser.py:15(clbk_laser) [topics: /clock, /m2wr/laser/scan, /rosout] [9.17016315460205, 9.708779335021973, 9.263846397399902, 9.984489440917969, 8.975642204284668]
934.686000000 INFO [reading_laser.py:15(clbk_laser) [topics: /clock, /m2wr/laser/scan, /rosout] [9.171186447143555, 9.716716766357422, 9.276739120483398, 9.971085548400879, 8.973150253295898]
934.738000000 INFO [reading_laser.py:15(clbk_laser) [topics: /clock, /m2wr/laser/scan, /rosout] [9.166242599487305, 9.733141899108887, 9.263279914855957, 9.97874927520752, 8.984411239624023]
934.786000000 INFO [reading_laser.py:15(clbk_laser) [topics: /clock, /m2wr/laser/scan, /rosout] [9.173673629760742, 9.707674026489258, 9.269806861877441, 9.99516773223877, 8.964948654174805]
934.840000000 INFO [reading_laser.py:15(clbk_laser) [topics: /clock, /m2wr/laser/scan, /rosout] [9.176643371582031, 9.71859359741211, 9.268536567687988, 9.97465991973877, 8.95794677734375]
934.887000000 INFO [reading_laser.py:15(clbk_laser) [topics: /clock, /m2wr/laser/scan, /rosout] [9.174173355102539, 9.7186861038208, 9.255478858947754, 9.97835922241211, 8.967461585998535]
934.946000000 INFO [reading_laser.py:15(clbk_laser) [topics: /clock, /m2wr/laser/scan, /rosout] [9.169669151306152, 9.721717834472656, 9.2705078125, 9.985471725463867, 8.969091415405273]
934.989000000 INFO [reading_laser.py:15(clbk_laser) [topics: /clock, /m2wr/laser/scan, /rosout] [9.169260025024414, 9.720069885253906, 9.271098136901855, 10.0, 8.968904495239258]
935.040000000 INFO [reading_laser.py:15(clbk_laser) [topics: /clock, /m2wr/laser/scan, /rosout] [9.169185638427734, 9.705855369567871, 9.275915145874023, 9.992277145385742, 8.9711275100708]
935.088000000 INFO [reading_laser.py:15(clbk_laser) [topics: /clock, /m2wr/laser/scan, /rosout] [9.164280891418457, 9.718278884887695, 9.26230239868164, 9.990662574768066, 8.97268009185791]
935.140000000 INFO [reading_laser.py:15(clbk_laser) [topics: /clock, /m2wr/laser/scan, /rosout] [9.165871620178223, 9.722597122192383, 9.275282859802246, 9.989588737487793, 8.980713844299316]
935.188000000 INFO [reading_laser.py:15(clbk_laser) [topics: /clock, /m2wr/laser/scan, /rosout] [9.16830825805664, 9.718162536621094, 9.269549369812012, 9.995674133300781, 8.973855972290039]
935.235000000 INFO [reading_laser.py:15(clbk_laser) [topics: /clock, /m2wr/laser/scan, /rosout] [9.180309295654297, 9.721353530883789, 9.2735013961792, 9.983206748962402, 8.962329864501953]
935.288000000 INFO [reading_laser.py:15(clbk_laser) [topics: /clock, /m2wr/laser/scan, /rosout] [9.169474601745605, 9.721407890319824, 9.272542953491211, 9.980321884155273, 8.972472190856934]
935.337000000 INFO [reading_laser.py:15(clbk_laser) [topics: /clock, /m2wr/laser/scan, /rosout] [9.162391662597656, 9.720048904418945, 9.267790794372559, 9.986634254455566, 8.961274147033691]
935.387000000 INFO [reading_laser.py:15(clbk_laser) [topics: /clock, /m2wr/laser/scan, /rosout] [9.17204761505127, 9.724786758422852, 9.269817352294922, 9.986100196838379, 8.977529525756836]
935.435000000 INFO [reading_laser.py:15(clbk_laser) [topics: /clock, /m2wr/laser/scan, /rosout] [9.165364265441895, 9.726278305053711, 9.266702651977539, 10.0, 8.96468448638916]
935.487000000 INFO [reading_laser.py:15(clbk_laser) [topics: /clock, /m2wr/laser/scan, /rosout] [9.165644645690918, 9.717512130737305, 9.26065731048584, 9.985968589782715, 8.97404670715332]
935.538000000 INFO [reading_laser.py:15(clbk_laser) [topics: /clock, /m2wr/laser/scan, /rosout] [9.171369552612305, 9.711447715759277, 9.271377563476562, 9.977912902832031, 8.977072715759277]
935.584000000 INFO [reading_laser.py:15(clbk_laser) [topics: /clock, /m2wr/laser/scan, /rosout] [9.172971725463867, 9.72928237915039, 9.27450180053711, 9.993505477905273, 8.980778694152832]
935.637000000 INFO [reading_laser.py:15(clbk_laser) [topics: /clock, /m2wr/laser/scan, /rosout] [9.173811912536621, 9.7252836227417, 9.27631664276123, 9.966200828552246, 8.966863632202148]
935.687000000 INFO [reading_laser.py:15(clbk_laser) [topics: /clock, /m2wr/laser/scan, /rosout] [9.165492057800293, 9.709064483642578, 9.275486946105957, 9.99853229522705, 8.960421562194824]
935.738000000 INFO [reading_laser.py:15(clbk_laser) [topics: /clock, /m2wr/laser/scan, /rosout] [9.167250633239746, 9.729151725769043, 9.262417793273926, 10.0, 8.97143268585205]
935.789000000 INFO [reading_laser.py:15(clbk_laser) [topics: /clock, /m2wr/laser/scan, /rosout] [9.182690620422363, 9.714094161987305, 9.261941909790039, 10.0, 8.968303680419922]
935.837000000 INFO [reading_laser.py:15(clbk_laser) [topics: /clock, /m2wr/laser/scan, /rosout] [9.174915313720703, 9.710180282592773, 9.279088020324707, 9.990216255187988, 8.967325210571289]
935.887000000 INFO [reading_laser.py:15(clbk_laser) [topics: /clock, /m2wr/laser/scan, /rosout] [9.16835880279541, 9.737693786621094, 9.256915092468262, 9.989092826843262, 8.965482711791992]
935.937000000 INFO [reading_laser.py:15(clbk_laser) [topics: /clock, /m2wr/laser/scan, /rosout] [9.176957130432129, 9.724800109863281, 9.26564884185791, 10.0, 8.9716215133667]
935.987000000 INFO [reading_laser.py:15(clbk_laser) [topics: /clock, /m2wr/laser/scan, /rosout] [9.172201156616211, 9.728776931762695, 9.27303409576416, 9.988555908203125, 8.969876289367676]
